UK General Election Results 1992,,,,,,,,,
Constituency,MP,Candidate,Party,Votes,%,Electorate,Majority,Turnout,Status
,,DS Baillie,Liberal Democrat,4470,11.27%,,,,
,,Ms. BE Slaughter,International Communist,62,0.16%,,,,
,,,,,,,,,
Glasgow Shettleston,*,D Marshall,Labour,21665,60.56%,51913,14834,68.91%,Labour Hold
,,Ms. N Sturgeon,Scottish National,6831,19.10%,,,,
,,NR Mortimer,Conservative,5396,15.08%,,,,
,,Ms. JP Orskov,Liberal Democrat,1881,5.26%,,,,
,,,,,,,,,
Glasgow Springburn,*,MJ Martin,Labour,20369,67.67%,45831,14506,65.67%,Labour Hold
,,S Miller,Scottish National,5863,19.48%,,,,
,,ACR Barnett,Conservative,2625,8.72%,,,,
,,R Ackland,Liberal Democrat,1242,4.13%,,,,
,,,,,,,,,
Gloucester,*,DC French,Conservative,29870,46.20%,80626,6069,80.18%,Conservative Hold
,,KE Stephens,Labour,23801,36.82%,,,,
,,JM Sewell,Liberal Democrat,10978,16.98%,,,,
,,,,,,,,,
Gloucestershire West,*,P Marland,Conservative,29232,43.55%,80054,4958,83.84%,Conservative Hold
,,Mrs DM Organ,Labour,24274,36.17%,,,,
,,Mrs JE Boait,Liberal Democrat,13366,19.91%,,,,
,,A Reeve,Independent,172,0.26%,,,,
,,CR Palmer,Twenty First Century,75,0.11%,,,,
,,,,,,,,,
Gordon,*,MG Bruce,Liberal Democrat,22158,37.45%,79672,274,74.27%,Liberal Democrat Gain
,,JA Porter,Conservative,21884,36.99%,,,,
,,BJ Adam,Scottish National,8445,14.27%,,,,
,,PM Morrell,Labour,6682,11.29%,,,,
,,,,,,,,,
Gosport,*,PJ Viggers,Conservative,31094,58.14%,69817,16318,76.60%,Conservative Hold
,,MG Russell,Liberal Democrat,14776,27.63%,,,,
,,Mrs MF Angus,Labour,7275,13.60%,,,,
,,PFF Ettie,Independent,332,0.62%,,,,
,,,,,,,,,
Gower,*,GL Wardell,Labour,23485,50.13%,57229,7048,81.87%,Labour Hold
,,AL Donnelly,Conservative,16437,35.08%,,,,
,,CG Davies,Liberal Democrat,4655,9.94%,,,,
,,A Price,Plaid Cymru,1639,3.50%,,,,
,,B Kingzett,Green,448,0.96%,,,,
,,GP Egan,Raving Loony Green Giant,114,0.24%,,,,
,,MS Beresford,Natural Law,74,0.16%,,,,
,,,,,,,,,
Grantham,,DM Hogg,Conservative,37194,56.20%,83535,19588,79.23%,Conservative Hold
,,S Taggart,Labour/Co-operative,17606,26.60%,,,,
,,JP Heppell,Liberal Democrat,9882,14.93%,,,,
,,JD Hiley,Liberal,1500,2.27%,,,,
,,,,,,,,,
Gravesham,*,JA Arnold,Conservative,29322,49.65%,70790,5493,83.42%,Conservative Hold
,,GA Green,Labour,23829,40.35%,,,,
,,DR Deedman,Liberal Democrat,5269,8.92%,,,,
,,AJ Bunstone,Independent,273,0.46%,,,,
,,REB Khilkoff-Boulding,Independent Conservative,187,0.32%,,,,
,,BJ Buxton,Independent Socialist,174,0.29%,,,,
,,,,,,,,,
Great Grimsby,*,AV Mitchell,Labour,25897,51.02%,67427,7506,75.29%,Labour Hold
,,P Jackson,Conservative,18391,36.23%,,,,
,,Mrs P Frankish,Liberal Democrat,6475,12.76%,,,,
,,,,,,,,,
Great Yarmouth,*,MRH Carttiss,Conservative,25505,47.93%,68263,5309,77.95%,Conservative Hold
,,Mrs BJ Baughan,Labour,20196,37.96%,,,,
,,MJ Scott,Liberal Democrat,7225,13.58%,,,,
,,Ms. P Larkin,Natural Law,284,0.53%,,,,
,,,,,,,,,
Greenock and Port Glasgow,*,Dr. NA Godman,Labour,22258,58.00%,52062,14979,73.71%,Labour Hold
,,I Black,Scottish National,7279,18.97%,,,,
,,J McCullough,Conservative,4479,11.67%,,,,
,,CND Lambert,Liberal Democrat,4359,11.36%,,,,
,,,,,,,,,
Greenwich,,WRN Raynsford,Labour,14630,41.02%,47790,1357,74.63%,Labour Gain
,*,Mrs RS Barnes,Liberal Democrat,13273,37.21%,,,,
,,Mrs A McNair,Conservative,6960,19.51%,,,,
,,RHJ McCracken,Green,483,1.35%,,,,
,,RS Mallone,Fellowship,147,0.41%,,,,
,,MG Hardee,Independent,103,0.29%,,,,
,,JD Small,Natural Law,70,0.20%,,,,
,,,,,,,,,
Guildford,*,DAR Howell,Conservative,33516,55.27%,77265,13404,78.49%,Conservative Hold
,,Mrs ML Sharp,Liberal Democrat,20112,33.16%,,,,
,,HL Mann,Labour,6781,11.18%,,,,
,,AS Law,Natural Law,234,0.39%,,,,
,,,,,,,,,
Hackney North and Stoke Newington,*,Ms. D Abbott,Labour,20083,57.84%,56768,10727,61.17%,Labour Hold
,,CD Manson,Conservative,9356,26.94%,,,,
,,KE Fitchett,Liberal Democrat,3996,11.51%,,,,
,,Mrs HM Hunt,Green,1111,3.20%,,,,
,,JG Windsor,Natural Law,178,0.51%,,,,
,,,,,,,,,
Hackney South and Shoreditch,*,BCJ Sedgemore,Labour,19730,53.36%,60220,9016,61.40%,Labour Hold
,,AJ Turner,Conservative,10714,28.98%,,,,
,,WG Wintle,Liberal Democrat,5533,14.96%,,,,
,,L Lucas,Green,772,2.09%,,,,
,,Mrs GL Norman,Natural Law,226,0.61%,,,,
,,,,,,,,,
Halesowen and Stourbridge,,PW Hawksley,Conservative,32312,50.57%,77644,9582,82.29%,Conservative Hold
,,AB Hankon,Labour,22730,35.58%,,,,
,,V Sharma,Liberal Democrat,7941,12.43%,,,,
,,T Weller,Green,908,1.42%,,,,
,,,,,,,,,
Halifax,*,Mrs A Mahon,Labour,25115,43.48%,73402,478,78.70%,Labour Hold
,,TR Martin,Conservative,24637,42.65%,,,,
,,IR Howell,Liberal Democrat,7364,12.75%,,,,
,,R Pearson,Independent Nationalist,649,1.12%,,,,
,,,,,,,,,
Halton,*,GJ Oakes,Labour,35005,59.67%,74909,18184,78.32%,Labour Hold
,,GL Mercer,Conservative,16821,28.67%,,,,
,,D Reaper,Liberal Democrat,6104,10.40%,,,,
,,S Herley,Monster Raving Loony,398,0.68%,,,,
,,Ms. NG Collins,Natural Law,338,0.58%,,,,
,,,,,,,,,
Hamilton,*,GIM Robertson,Labour,25849,55.16%,61572,16603,76.11%,Labour Hold
,,W Morrison,Scottish National,9246,19.73%,,,,
,,Mrs JM Mitchell,Conservative,8250,17.61%,,,,
,,J Oswald,Liberal Democrat,3515,7.50%,,,,
,,,,,,,,,
Hammersmith,*,CS Soley,Labour,17329,51.03%,47504,4754,71.49%,Labour Hold
,,JA Hennessy,Conservative,12575,37.03%,,,,
,,JH Bates,Liberal Democrat,3380,9.95%,,,,
,,RS Crosskey,Green,546,1.61%,,,,
,,KA Turner,Natural Law,89,0.26%,,,,
,,Miss H Szamuely,Anti-Federalist League,41,0.12%,,,,
,,,,,,,,,
Hampshire East,*,MJ Mates,Conservative,47541,64.21%,93393,29165,79.27%,Conservative Hold
,,Mrs SM Baring,Liberal Democrat,18376,24.82%,,,,
,,JA Phillips,Labour,6840,9.24%,,,,
,,IC Foster,Green,1113,1.50%,,,,
,,SL Hale,Independent,165,0.22%,,,,
,,,,,,,,,
Hampshire North West,*,Sir DB Mitchell,Conservative,34310,58.12%,73036,17848,80.82%,Conservative Hold
,,MS Simpson,Liberal Democrat,16462,27.89%,,,,
,,MAD Stockwell,Labour,7433,12.59%,,,,
,,Ms. DA Ashley,Green,825,1.40%,,,,
,,,,,,,,,
Hampstead and Highgate,,Mrs GM Jackson,Labour,19193,45.15%,58452,1440,72.73%,Labour Gain
,,O Letwin,Conservative,17753,41.76%,,,,
,,CDH Wrede,Liberal Democrat,4765,11.21%,,,,
,,SN Games,Green,594,1.40%,,,,
,,RD Prosser,Natural Law,86,0.20%,,,,
,,C Wilson,Rainbow Alliance,44,0.10%,,,,
,,Miss A Hall,Rainbow Alliance,44,0.10%,,,,
,,C Rizz,Rainbow Alliance,33,0.08%,,,,
,,,,,,,,,
Harborough,,EH Garnier,Conservative,34280,54.56%,76514,13543,82.11%,Conservative Hold
,,MA Cox,Liberal Democrat,20737,33.01%,,,,
,,Ms. C Mackay,Labour,7483,11.91%,,,,
,,AP Irwin,Natural Law,328,0.52%,,,,
,,,,,,,,,
Harlow,*,JJJ Hayes,Conservative,26608,46.97%,69467,2940,81.55%,Conservative Hold
,,WE Rammell,Labour,23668,41.78%,,,,
,,Mrs LH Spenceley,Liberal Democrat,6375,11.25%,,,,
,,,,,,,,,
Harrogate,*,RG Banks,Conservative,32023,53.85%,76250,12589,77.99%,Conservative Hold
,,TJ Hurren,Liberal Democrat,19434,32.68%,,,,
,,AJ Wright,Labour,7230,12.16%,,,,
,,AF Warneken,Green,780,1.31%,,,,
,,,,,,,,,
Harrow East,*,HJM Dykes,Conservative,30752,52.87%,74837,11098,77.73%,Conservative Hold
,,AJ McNulty,Labour,19654,33.79%,,,,
,,Miss VM Chamberlain,Liberal Democrat,6360,10.93%,,,,
,,PJ Burrows,Liberal,1142,1.96%,,,,
,,Mrs SJ Hamza,Natural Law,212,0.36%,,,,
,,Mrs JC Lester,Anti-Federalist League,49,0.08%,,,,
,,,,,,,,,
Harrow West,*,RG Hughes,Conservative,30240,55.20%,69675,17897,78.63%,Conservative Hold
,,CA Moraes,Labour,12343,22.53%,,,,
,,CD Noyce,Liberal Democrat,11050,20.17%,,,,
,,G Aitman,Liberal,845,1.54%,,,,
,,Mrs JFT Argyle,Natural Law,306,0.56%,,,,
,,,,,,,,,
Hartlepool,,PB Mandelson,Labour,26816,51.86%,67969,8782,76.08%,Labour Hold
,,GM Robb,Conservative,18034,34.88%,,,,
,,IJH Cameron,Liberal Democrat,6860,13.27%,,,,
,,,,,,,,,
Harwich,,IM Sproat,Conservative,32369,51.90%,80261,17159,77.71%,Conservative Hold
,,Mrs PA Bevan,Liberal Democrat,15210,24.39%,,,,
,,R Knight,Labour,14511,23.27%,,,,
,,Mrs EP McGrath,Natural Law,279,0.45%,,,,
,,,,,,,,,
Hastings and Rye,,Mrs JAH Lait,Conservative,25573,47.55%,71839,6634,74.86%,Conservative Hold
,,ME Palmer,Liberal Democrat,18939,35.22%,,,,
,,RD Stevens,Labour,8458,15.73%,,,,
,,Ms. MS Phillips,Green,640,1.19%,,,,
,,D Howell,Monster Raving Loony,168,0.31%,,,,
,,,,,,,,,
Havant,,DL Willetts,Conservative,32233,54.96%,74245,17584,78.99%,Conservative Hold
,,SF Van Hagen,Liberal Democrat,14649,24.98%,,,,
,,GRJ Morris,Labour,10968,18.70%,,,,
,,TAF Mitchell,Green,793,1.35%,,,,
,,,,,,,,,
Hayes and Harlington,*,TP Dicks,Conservative,19489,44.91%,55024,53,78.87%,Conservative Hold
,,JM McDonnell,Labour,19436,44.79%,,,,
,,AJ Little,Liberal Democrat,4472,10.30%,,,,
,,,,,,,,,
Hazel Grove,*,Sir TR Arnold,Conservative,24479,44.81%,64300,929,84.95%,Conservative Hold
,,RA Stunell,Liberal Democrat,23550,43.11%,,,,
,,CD McAllister,Labour,6390,11.70%,,,,
,,MS Penn,Natural Law,204,0.37%,,,,
,,,,,,,,,
Hemsworth,*,DA Enright,Labour,29942,70.84%,55696,22075,75.89%,Labour Hold
,,G Harrison,Conservative,7867,18.61%,,,,
,,Ms. V Megson,Liberal Democrat,4459,10.55%,,,,
,,,,,,,,,
Hendon North,*,JM Gorst,Conservative,20569,53.18%,51514,7122,75.08%,Conservative Hold
,,DJ Hill,Labour,13447,34.77%,,,,
,,P Kemp,Liberal Democrat,4136,10.69%,,,,
,,Mrs PA Duncan,Green,430,1.11%,,,,
,,Mrs PA Orr,Natural Law,95,0.25%,,,,
,,,,,,,,,
Hendon South,*,JL Marshall,Conservative,20593,58.78%,48401,12047,72.39%,Conservative Hold
,,Mrs L Lloyd,Labour,8546,24.39%,,,,
,,JB Cohen,Liberal Democrat,5609,16.01%,,,,
,,J Leslie,Natural Law,289,0.82%,,,,
,,,,,,,,,
Henley,*,MRD Heseltine,Conservative,30835,59.69%,64698,18392,79.85%,Conservative Hold
,,DG Turner,Liberal Democrat,12443,24.09%,,,,
,,IJ Russell-Swinnerton,Labour,7676,14.86%,,,,
,,AS Plane,Independent,431,0.83%,,,,
,,Ms. SA Banerji,Natural Law,274,0.53%,,,,
,,,,,,,,,
Hereford,*,CR Shepherd,Conservative,26727,47.19%,69686,3413,81.28%,Conservative Hold
,,GG Jones,Liberal Democrat,23314,41.16%,,,,
,,Ms. JE Kelly,Labour,6005,10.60%,,,,
,,CT Mattingly,Green,596,1.05%,,,,
,,,,,,,,,
Hertford and Stortford,*,PB Wells,Conservative,35716,57.49%,76655,20210,81.05%,Conservative Hold
,,CJ White,Liberal Democrat,15506,24.96%,,,,
,,AJ Bovaird,Labour,10125,16.30%,,,,
,,JA Goth,Green,780,1.26%,,,,
,,,,,,,,,
Hertfordshire North,,O Heald,Conservative,33679,49.81%,80086,16531,84.43%,Conservative Hold
,,RJ Liddle,Liberal Democrat,17148,25.36%,,,,
,,Miss SJ Bissett-Johnson,Labour,16449,24.33%,,,,
,,BJR Irving,Natural Law,339,0.50%,,,,
,,,,,,,,,
Hertfordshire South West,*,RL Page,Conservative,33825,57.01%,70913,20107,83.67%,Conservative Hold
,,Mrs A Shaw,Liberal Democrat,13718,23.12%,,,,
,,AP Gale,Labour,11512,19.40%,,,,
,,CJ Adamson,Natural Law,281,0.47%,,,,
,,,,,,,,,
Hertfordshire West,*,RB Jones,Conservative,33340,51.52%,78554,13940,82.39%,Conservative Hold
,,Mrs ME McNally,Labour,19400,29.98%,,,,
,,MJ Trevett,Liberal Democrat,10464,16.17%,,,,
,,J Hannaway,Green,674,1.04%,,,,
,,JC McAuley,National Front,665,1.03%,,,,
,,GG Harvey,Natural Law,175,0.27%,,,,
,,,,,,,,,
Hertsmere,,WJ Clappison,Conservative,32133,56.79%,69952,18735,80.89%,Conservative Hold
,,DN Souter,Labour,13398,23.68%,,,,
,,Mrs Z Gifford,Liberal Democrat,10681,18.88%,,,,
,,Ms. DM Harding,Natural Law,373,0.66%,,,,
,,,,,,,,,
Hexham,,PL Atkinson,Conservative,24967,52.43%,57812,13438,82.37%,Conservative Hold
,,ICF Swithenbank,Labour,11529,24.21%,,,,
,,JC Wallace,Liberal Democrat,10344,21.72%,,,,
,,JP Hartshorne,Green,781,1.64%,,,,
,,,,,,,,,
Heywood and Middleton,*,J Callaghan,Labour,22380,52.25%,57177,8074,74.91%,Labour Hold
,,E Ollerenshaw,Conservative,14306,33.40%,,,,
,,Dr. MB Taylor,Liberal Democrat,5252,12.26%,,,,
,,P Burke,Liberal,757,1.77%,,,,
,,Ms. AM Scott,Natural Law,134,0.31%,,,,
,,,,,,,,,
High Peak,,C Hendry,Conservative,27538,45.96%,70793,4819,84.63%,Conservative Hold
,,T Levitt,Labour,22719,37.92%,,,,
,,SP Molloy,Liberal Democrat,8861,14.79%,,,,
,,R Floyd,Green,794,1.33%,,,,
,,,,,,,,,
Holborn and St. Pancras,*,FG Dobson,Labour,22243,54.76%,64794,10824,62.69%,Labour Hold
,,AJ McHallam,Conservative,11419,28.11%,,,,
,,Mrs J Horne-Roberts,Liberal Democrat,5476,13.48%,,,,
,,PA Wolf-Light,Green,959,2.36%,,,,
,,MK Hersey,Natural Law,212,0.52%,,,,
,,R Headicar,Socialist of Great Britain,175,0.43%,,,,
,,N Lewis,Independent,133,0.33%,,,,
,,,,,,,,,
Holland with Boston,*,Sir RBFS Body,Conservative,29159,55.10%,67900,13831,77.94%,Conservative Hold
,,JD Hough,Labour,15328,28.96%,,,,
,,NJ Ley,Liberal Democrat,8434,15.94%,,,,
,,,,,,,,,
Honiton,*,Sir PFH Emery,Conservative,33533,52.42%,79224,16511,80.74%,Conservative Hold
,,Mrs JM Sharratt,Liberal Democrat,17022,26.61%,,,,
,,R Davison,Labour,8142,12.73%,,,,
,,DA Owen,Independent Conservative,2175,3.40%,,,,
,,SBF Hughes,Raving Loony Green Giant,1442,2.25%,,,,
,,GJ Halliwell,Liberal,1005,1.57%,,,,
,,AJ Tootill,Green,650,1.02%,,,,
,,,,,,,,,
Hornchurch,*,RC Squire,Conservative,25817,53.46%,60484,9165,79.84%,Conservative Hold
,,Miss LARG Cooper,Labour,16652,34.48%,,,,
,,BJ Oddy,Liberal Democrat,5366,11.11%,,,,
,,TF Matthews,Independent Ind SD,453,0.94%,,,,
,,,,,,,,,
Hornsey and Wood Green,,Mrs BM Roche,Labour,27020,48.47%,73668,5177,75.67%,Labour Gain
,,AJ Boff,Conservative,21843,39.18%,,,,
,,PG Dunphy,Liberal Democrat,5547,9.95%,,,,
,,Miss EM Crosbie,Green,1051,1.89%,,,,
,,PRG Davies,Natural Law,197,0.35%,,,,
,,W Massey,Revolutionary Communist,89,0.16%,,,,
,,,,,,,,,
Horsham,*,Sir PM Hordern,Conservative,42210,61.71%,84159,25072,81.27%,Conservative Hold
,,Mrs JM Stainton,Liberal Democrat,17138,25.06%,,,,
,,SPP Uwins,Labour,6745,9.86%,,,,
,,Ms. JA Elliott,Liberal,1281,1.87%,,,,
,,TJ King,Green,692,1.01%,,,,
,,JJ Duggan,Independent,332,0.49%,,,,
,,,,,,,,,
Houghton and Washington,*,R Boyes,Labour,34733,62.02%,79326,20808,70.60%,Labour Hold
,,AG Tyrie,Conservative,13925,24.86%,,,,
,,O Dumpleton,Liberal Democrat,7346,13.12%,,,,
,,,,,,,,,
Hove,*,TAD Sainsbury,Conservative,24525,48.96%,67566,12268,74.13%,Conservative Hold
,,DK Turner,Labour,12257,24.47%,,,,
,,Mrs AF Jones,Liberal Democrat,9709,19.38%,,,,
,,JNP Furness,Independent Conservative,2658,5.31%,,,,
,,GS Sinclair,Green,814,1.63%,,,,
,,JH Morilly,Natural Law,126,0.25%,,,,
,,,,,,,,,
Huddersfield,*,BJ Sheerman,Labour/Co-operative,23832,48.74%,67574,7258,72.36%,Labour/Co-operative Hold
,,Miss JM Kenyon,Conservative,16574,33.90%,,,,
,,Mrs AE Denham,Liberal Democrat,7777,15.91%,,,,
,,NAL Harvey,Green,576,1.18%,,,,
,,M Cran,Natural Law,135,0.28%,,,,
,,,,,,,,,
Hull East,*,JL Prescott,Labour,30096,62.91%,69078,18723,69.26%,Labour Hold
,,JL Fareham,Conservative,11373,23.77%,,,,
,,JH Wastling,Liberal Democrat,6050,12.65%,,,,
,,C Kinzell,Natural Law,323,0.68%,,,,
,,,,,,,,,
Hull North,*,JK McNamara,Labour,26619,55.91%,71395,15384,66.69%,Labour Hold
,,BG Coleman,Conservative,11235,23.60%,,,,
,,AP Meadowcroft,Liberal Democrat,9504,19.96%,,,,
,,GP Richardson,Natural Law,254,0.53%,,,,
,,,,,,,,,
Hull West,*,SJ Randall,Labour,21139,57.34%,56136,10585,65.68%,Labour Hold
,,DM Stewart,Conservative,10554,28.63%,,,,
,,RD Tress,Liberal Democrat,4867,13.20%,,,,
,,BJ Franklin,Natural Law,308,0.84%,,,,
,,,,,,,,,
Huntingdon,*,J Major,Conservative,48662,66.16%,92914,36230,79.16%,Conservative Hold
,,HA Seckleman,Labour,12432,16.90%,,,,
,,AN Duff,Liberal Democrat,9386,12.76%,,,,
,,PD Wiggin,Liberal,1045,1.42%,,,,
,,Miss DM Birkhead,Green,846,1.15%,,,,
,,DE Sutch,Monster Raving Loony,728,0.99%,,,,
,,MA Flanagan,Independent Conservative,231,0.31%,,,,
,,L Buckethead,Independent,107,0.15%,,,,
,,CS Cockell,Independent,91,0.12%,,,,
,,D Shepheard,Natural Law,26,0.04%,,,,
,,,,,,,,,
Hyndburn,,GJ Pope,Labour,23042,46.87%,58560,1960,83.95%,Labour Gain
,*,JK Hargreaves,Conservative,21082,42.88%,,,,
,,Mrs Y Stars,Liberal Democrat,4886,9.94%,,,,
,,SJ Whittle,Natural Law,150,0.31%,,,,
,,,,,,,,,
Ilford North,*,VWH Bendall,Conservative,24678,53.96%,58695,9051,77.92%,Conservative Hold
,,Mrs LR Hilton,Labour,15627,34.17%,,,,
,,RJ Scott,Liberal Democrat,5430,11.87%,,,,
,,,,,,,,,
Ilford South,,MJ Gapes,Labour/Co-operative,19418,45.34%,55857,402,76.68%,Labour/Co-operative Gain
,*,NG Thorne,Conservative,19016,44.40%,,,,
,,GG Hogarth,Liberal Democrat,4126,9.63%,,,,
,,B Nandkishore,Natural Law,269,0.63%,,,,
,,,,,,,,,
"Inverness Nairn and Lochaber",*,Sir DR Johnston,Liberal Democrat,13258,26.05%,69151,458,73.61%,Liberal Democrat Gain
,,DJ Stewart,Labour,12800,25.15%,,,,
,,FS Ewing,Scottish National,12562,24.68%,,,,
,,J Scott,Conservative,11517,22.63%,,,,
,,J Martin,Green,766,1.50%,,,,
,,,,,,,,,
Ipswich,,JC Cann,Labour,23680,43.83%,67289,265,80.29%,Labour Gain
,*,MF Irvine,Conservative,23415,43.34%,,,,
,,JW White,Liberal Democrat,6159,11.40%,,,,
,,Miss JE Scott,Green,591,1.09%,,,,
,,ES Kaplan,Natural Law,181,0.34%,,,,
,,,,,,,,,
Isle of Wight,*,BJA Field,Conservative,38163,47.92%,99839,1827,79.76%,Conservative Hold
,,Dr. P Brand,Liberal Democrat,36336,45.63%,,,,
,,K Pearson,Labour,4784,6.01%,,,,
,,CA Daly,Natural Law,350,0.44%,,,,
,,,,,,,,,
Islington North,*,JB Corbyn,Labour,21742,57.44%,56814,12784,66.62%,Labour Hold
,,Mrs ML Champagnie,Conservative,8958,23.67%,,,,
,,Miss SA Ludford,Liberal Democrat,5732,15.14%,,,,
,,CM Ashby,Green,1420,3.75%,,,,
,,,,,,,,,
Islington South and Finsbury,*,CR Smith,Labour,20586,51.11%,57060,10652,70.59%,Labour Hold
,,MV Jones,Conservative,9934,24.66%,,,,
,,CJ Pryce,Liberal Democrat,9387,23.30%,,,,
,,Mrs RG Hersey,Natural Law,149,0.37%,,,,
,,Mrs M Avino,Monster Raving Loony,142,0.35%,,,,
,,MJ Spinks,Independent,83,0.21%,,,,
,,,,,,,,,
Islwyn,*,NG Kinnock,Labour,30908,74.31%,51082,24728,81.42%,Labour Hold
,,PW Bone,Conservative,6180,14.86%,,,,
,,AM Symonds,Liberal Democrat,2352,5.65%,,,,
,,Miss HM Jones,Plaid Cymru/Green,1606,3.86%,,,,
,,LD Sutch,Monster Raving Loony,547,1.32%,,,,
,,,,,,,,,
Jarrow,*,D Dixon,Labour,28956,62.12%,62612,17907,74.45%,Labour Hold
,,TF Ward,Conservative,11049,23.70%,,,,
,,JK Orrell,Liberal Democrat,6608,14.18%,,,,
,,,,,,,,,
Keighley,*,GPA Waller,Conservative,25983,47.41%,66379,3596,82.56%,Conservative Hold
,,TB Flanagan,Labour,22387,40.85%,,,,
,,IN Simpson,Liberal Democrat,5793,10.57%,,,,
,,KM Crowson,Green,642,1.17%,,,,
,,,,,,,,,
Kensington,*,JD Fishburn,Conservative,15540,50.33%,42129,3548,73.29%,Conservative Hold
,,Mrs PA Holmes,Labour,11992,38.84%,,,,
,,CK Shirley,Liberal Democrat,2770,8.97%,,,,
,,Mrs A Burlingham-Johnson,Green,415,1.34%,,,,
,,AJW Hardy,Natural Law,90,0.29%,,,,
,,Mrs A Bulloch,Anti-Federalist League,71,0.23%,,,,
,,,,,,,,,
Kent Mid,*,AJB Rowe,Conservative,33633,56.70%,74460,19649,79.66%,Conservative Hold
,,TJ Robson,Labour,13984,23.58%,,,,
,,GD Colley,Liberal Democrat,11476,19.35%,,,,
,,GJ Valente,Natural Law,224,0.38%,,,,
,,,,,,,,,
Kettering,*,RN Freeman,Conservative,29115,51.96%,67854,11154,82.59%,Conservative Hold
,,PI Hope,Labour,17961,32.05%,,,,
,,RD Denton-White,Liberal Democrat,8962,15.99%,,,,
,,,,,,,,,
Kilmarnock and Loudoun,*,W McKelvey,Labour,22210,44.78%,62043,6979,79.95%,Labour Hold
,,A Neil,Scottish National,15231,30.71%,,,,
,,RM Wilkinson,Conservative,9438,19.03%,,,,
,,Mrs KHR Philbrick,Liberal Democrat,2722,5.49%,,,,
,,,,,,,,,
Kincardine and Deeside,,GAB Kynoch,Conservative,22924,43.70%,66169,4495,79.28%,Conservative Gain
,,NR Stephen,Liberal Democrat,18429,35.13%,,,,
,,WJA Macartney,Scottish National,5927,11.30%,,,,
,,MK Savidge,Labour,4795,9.14%,,,,
,,SJ Campbell,Green,381,0.73%,,,,
,,,,,,,,,
Kingston upon Thames,*,NSH Lamont,Conservative,20675,51.62%,51078,10153,78.41%,Conservative Hold
,,DR Osbourne,Liberal Democrat,10522,26.27%,,,,
,,RH Markless,Labour,7748,19.35%,,,,
,,AC Amer,Liberal,771,1.93%,,,,
,,DJ Beaupré,Monster Raving Loony,212,0.53%,,,,
,,GD Woollcoombe,Natural Law,81,0.20%,,,,
,,AJE Scholefield,Anti-Federalist League,42,0.10%,,,,
,,,,,,,,,
Kingswood,,RL Berry,Labour,26774,44.52%,71740,2370,83.84%,Labour Gain
,*,RA Hayward,Conservative,24404,40.58%,,,,
,,Mrs JB Pinkerton,Liberal Democrat,8967,14.91%,,,,
,,,,,,,,,
Kirkcaldy,*,Dr. LG Moonie,Labour,17887,46.04%,51955,9126,74.78%,Labour Hold
,,S Hosie,Scottish National,8761,22.55%,,,,
,,SP Wosley,Conservative,8476,21.82%,,,,
,,Ms. S Leslie,Liberal Democrat,3729,9.60%,,,,
,,,,,,,,,
Knowsley North,*,GE Howarth,Labour,27517,77.50%,48783,22403,72.78%,Labour Hold
,,SJ Mabey,Conservative,5114,14.40%,,,,
,,PJ Murray,Liberal Democrat,1515,4.27%,,,,
,,Mrs KM Lappin,Liberal,1180,3.32%,,,,
,,V Ruben,Natural Law,179,0.50%,,,,
,,,,,,,,,
Knowsley South,*,E O'Hara,Labour,31933,68.60%,62295,22011,74.73%,Labour Hold
,,LT Byrom,Conservative,9922,21.31%,,,,
,,I Smith,Liberal Democrat,4480,9.62%,,,,
,,M Raiano,Natural Law,217,0.47%,,,,
,,,,,,,,,
Lagan Valley,*,JH Molyneaux,Ulster Unionist,29772,60.81%,72708,23565,67.33%,Ulster Unionist Hold
,,SA Close,Alliance,6207,12.68%,,,,
,,H Lewsley,Social Democratic and Labour,4626,9.45%,,,,
,,TR Coleridge,Conservative,4423,9.03%,,,,
,,PJ Rice,Sinn Féin,3346,6.83%,,,,
,,Mrs A-M Lowry,The Workers' (NI),582,1.19%,,,,
,,,,,,,,,
Lancashire West,,C Pickthall,Labour,30120,47.11%,77463,2069,82.54%,Labour Gain
,*,KH Hind,Conservative,28051,43.87%,,,,
,,PF Reilly,Liberal Democrat,4884,7.64%,,,,
,,PJ Pawley,Green,546,0.85%,,,,
,,BH Morris,Natural Law,336,0.53%,,,,
,,,,,,,,,
Lancaster,*,Dame ME Kellett-Bowman,Conservative,21084,45.58%,58616,2953,78.91%,Conservative Hold
,,Mrs RB Henig,Labour,18131,39.20%,,,,
,,JC Humberstone,Liberal Democrat,6524,14.10%,,,,
,,Ms. G Dowding,Green,433,0.94%,,,,
,,J Barcis,Natural Law,83,0.18%,,,,
,,,,,,,,,
Langbaurgh,,MW Bates,Conservative,30018,45.42%,79563,1564,83.06%,Conservative Hold
,*,Ashok Kumar,Labour,28454,43.06%,,,,
,,PJ Allen,Liberal Democrat,7615,11.52%,,,,
,,,,,,,,,
Leeds Central,*,DJ Fatchett,Labour,23673,62.23%,62059,15020,61.29%,Labour Hold
,,Mrs TC Holdroyd,Conservative,8653,22.75%,,,,
,,D Pratt,Liberal Democrat,5713,15.02%,,,,
,,,,,,,,,
Leeds East,,GE Mudie,Labour,24929,57.70%,61720,12697,70.00%,Labour Hold
,,WN Carmichael,Conservative,12232,28.31%,,,,
,,P Wrigley,Liberal Democrat,6040,13.98%,,,,
,,,,,,,,,
